=== MATCH SCHEDULE FOR SATURDAY ===
08:00 AM - 08:25 AM | CMS32  | Court 1
08:00 AM - 08:25 AM | CMS33  | Court 2
08:00 AM - 08:25 AM | DMS26  | Court 3
08:00 AM - 08:25 AM | DMS27  | Court 4
08:00 AM - 08:25 AM | DMS28  | Court 5
08:00 AM - 08:25 AM | DMS29  | Court 6
08:25 AM - 08:50 AM | DMS30  | Court 1
08:25 AM - 08:50 AM | DMS31  | Court 2
08:25 AM - 08:50 AM | DMS32  | Court 3
08:25 AM - 08:50 AM | DMS33  | Court 4
08:25 AM - 08:50 AM | DMS34  | Court 5
08:25 AM - 08:50 AM | DMS35  | Court 6
08:50 AM - 09:15 AM | DMS36  | Court 1
08:50 AM - 09:15 AM | DMS37  | Court 2
08:50 AM - 09:15 AM | DMS38  | Court 3
08:50 AM - 09:15 AM | DMS39  | Court 4
08:50 AM - 09:15 AM | CMS65  | Court 5
08:50 AM - 09:15 AM | CMS66  | Court 6
09:15 AM - 09:40 AM | CMS67  | Court 1
09:15 AM - 09:40 AM | CMS68  | Court 2
09:15 AM - 09:40 AM | CMS69  | Court 3
09:15 AM - 09:40 AM | CMS70  | Court 4
09:15 AM - 09:40 AM | CMS71  | Court 5
09:15 AM - 09:40 AM | CMS72  | Court 6
09:40 AM - 10:05 AM | CMS73  | Court 1
09:40 AM - 10:05 AM | CMS74  | Court 2
09:40 AM - 10:05 AM | CMS75  | Court 3
09:40 AM - 10:05 AM | CMS76  | Court 4
09:40 AM - 10:05 AM | CMS77  | Court 5
09:40 AM - 10:05 AM | CMS78  | Court 6
10:05 AM - 10:30 AM | CMS79  | Court 1
10:05 AM - 10:30 AM | CMS80  | Court 2
10:05 AM - 10:30 AM | CMS81  | Court 3
10:05 AM - 10:30 AM | CMS82  | Court 4
10:05 AM - 10:30 AM | CMS83  | Court 5
10:05 AM - 10:30 AM | CMS84  | Court 6
10:30 AM - 10:55 AM | CMS85  | Court 1
10:30 AM - 10:55 AM | CMS86  | Court 2
10:30 AM - 10:55 AM | CMS87  | Court 3
10:30 AM - 10:55 AM | CMS88  | Court 4
10:30 AM - 10:55 AM | CMS89  | Court 5
10:30 AM - 10:55 AM | CMS90  | Court 6
10:55 AM - 11:20 AM | CMS91  | Court 1
10:55 AM - 11:20 AM | CMS92  | Court 2
10:55 AM - 11:20 AM | CMS93  | Court 3
10:55 AM - 11:20 AM | CMS94  | Court 4
10:55 AM - 11:20 AM | CMS95  | Court 5
10:55 AM - 11:20 AM | CMS96  | Court 6
11:00 AM - 11:25 AM | DMS65  | Court 17
11:00 AM - 11:25 AM | DMS66  | Court 18
11:00 AM - 11:25 AM | DMS67  | Court 19
11:00 AM - 11:25 AM | DMS68  | Court 11
11:00 AM - 11:25 AM | DMS69  | Court 12
11:00 AM - 11:25 AM | DMS70  | Court 13
11:00 AM - 11:25 AM | DMS71  | Court 14
11:00 AM - 11:25 AM | DMS72  | Court 15
11:00 AM - 11:25 AM | DMS73  | Court 16
11:00 AM - 11:25 AM | DMS74  | Court 7
11:00 AM - 11:25 AM | DMS75  | Court 8
11:00 AM - 11:25 AM | DMS76  | Court 9
11:00 AM - 11:25 AM | DMS77  | Court 10
11:20 AM - 11:45 AM | DMS78  | Court 1
11:20 AM - 11:45 AM | DMS79  | Court 2
11:20 AM - 11:45 AM | DMS80  | Court 3
11:20 AM - 11:45 AM | DMS81  | Court 4
11:20 AM - 11:45 AM | DMS82  | Court 5
11:20 AM - 11:45 AM | DMS83  | Court 6
11:25 AM - 11:50 AM | DMS84  | Court 17
11:25 AM - 11:50 AM | DMS85  | Court 18
11:25 AM - 11:50 AM | DMS86  | Court 19
11:25 AM - 11:50 AM | DMS87  | Court 11
11:25 AM - 11:50 AM | DMS88  | Court 12
